S,0,512,half
G,5,64,16th
B,5,128,eighth
S,0,256,quarter
C,6,64,16th
B,5,64,16th
C,6,128,eighth
S,0,256,quarter
B,5,64,16th
G,5,64,16th
B,5,128,eighth
S,0,128,eighth
B,5,64,16th
B,5,64,16th
B,5,128,eighth
F,5,64,16th
E,5,64,16th
F,5,128,eighth
B,5,64,16th
B,5,64,16th
B,5,128,eighth
D,5,64,16th
C,5,64,16th
D,5,128,eighth
B,5,64,16th
B,5,64,16th
B,5,128,eighth
B,4,64,16th
C,5,64,16th
D,5,128,eighth
E,5,128,eighth
F,5,64,16th
E,5,64,16th
F,5,64,16th
G,5,64,16th
F,5,64,16th
E,5,64,16th
D,5,64,16th
C,5,64,16th
D,5,64,16th
E,5,64,16th
D,5,64,16th
E,5,64,16th
E,5,192,eighth
D,5,64,16th
E,5,64,16th
F,5,128,eighth
B,5,64,16th
B,5,64,16th
B,5,128,eighth
F,5,64,16th
E,5,64,16th
D,5,128,eighth
C,5,64,16th
B,4,64,16th
C,5,128,eighth
B,4,64,16th
B,4,64,16th
G,5,192,eighth
F,5,64,16th
E,5,64,16th
D,5,64,16th
C,5,64,16th
B,4,64,16th
F,5,192,eighth
G,5,64,16th
C,5,192,eighth
B,4,64,16th
B,4,256,quarter
S,0,256,quarter
S,0,512,half
S,0,128,eighth
D,5,64,16th
C,5,64,16th
D,5,128,eighth
F,5,64,16th
E,5,64,16th
F,5,128,eighth
F,5,128,eighth
F,5,128,eighth
E,5,64,16th
D,5,64,16th
E,5,128,eighth
E,5,128,eighth
E,5,128,eighth
D,5,64,16th
C,5,64,16th
D,5,192,eighth
C,5,64,16th
C,5,128,eighth
C,5,64,16th
C,5,64,16th
B,4,64,16th
B,4,256,quarter
S,0,256,quarter
G,4,256,quarter
B,4,256,quarter
D,5,384,quarter
D,5,128,eighth
B,4,128,eighth
D,5,128,eighth
G,5,64,16th
B,5,64,16th
A,5,64,16th
G,5,64,16th
F,5,64,16th
G,5,64,16th
A,5,64,16th
G,5,64,16th
F,5,64,16th
E,5,64,16th
D,5,64,16th
C,5,64,16th
D,5,128,eighth
A,4,64,16th
G,4,64,16th
A,4,128,eighth
D,5,64,16th
C,5,64,16th
D,5,128,eighth
F,4,64,16th
E,4,64,16th
F,4,128,eighth
D,5,64,16th
C,5,64,16th
D,5,128,eighth
D,4,64,16th
E,4,64,16th
F,4,128,eighth
G,4,128,eighth
A,4,384,quarter
C,5,128,eighth
D,5,64,16th
C,5,64,16th
D,5,64,16th
E,5,64,16th
D,5,64,16th
F,5,64,16th
C,5,64,16th
E,5,64,16th
D,5,64,16th
E,5,64,16th
F,5,64,16th
E,5,64,16th
D,5,64,16th
C,5,64,16th
B,4,64,16th
A,4,64,16th
B,4,64,16th
A,4,64,16th
B,4,64,16th
C,5,64,16th
B,4,64,16th
D,5,64,16th
A,4,64,16th
C,5,64,16th
B,4,64,16th
C,5,64,16th
D,5,64,16th
C,5,64,16th
B,4,64,16th
A,4,64,16th
G,4,64,16th
F,4,64,16th
G,4,64,16th
F,4,64,16th
G,4,64,16th
A,4,64,16th
G,4,64,16th
B,4,64,16th
F,4,64,16th
A,4,64,16th
G,4,64,16th
A,4,64,16th
B,4,64,16th
A,4,64,16th
G,4,64,16th
F,4,64,16th
E,4,64,16th
D,4,64,16th
E,4,64,16th
G,4,64,16th
F,4,64,16th
A,4,64,16th
G,4,64,16th
B,4,64,16th
A,4,64,16th
G,4,64,16th
F,4,64,16th
G,4,64,16th
A,4,64,16th
B,4,64,16th
C,5,64,16th
D,5,64,16th
C,5,64,16th
D,5,64,16th
B,4,64,16th
G,5,64,16th
F,5,64,16th
E,5,64,16th
D,5,64,16th
C,5,64,16th
B,4,64,16th
A,4,64,16th
G,4,64,16th
E,4,64,16th
D,4,64,16th
C,4,64,16th
B,3,64,16th
A,3,64,16th
G,3,64,16th
A,3,64,16th
B,3,64,16th
C,4,64,16th
B,3,64,16th
A,3,64,16th
G,3,128,eighth
G,5,128,eighth
F,5,64,16th
D,5,64,16th
F,5,64,16th
D,5,64,16th
F,5,64,16th
D,5,64,16th
F,5,64,16th
D,5,64,16th
F,5,64,16th
D,5,64,16th
F,5,64,16th
D,5,64,16th
F,5,64,16th
D,5,64,16th
F,5,64,16th
D,5,64,16th
E,5,64,16th
C,5,64,16th
E,5,64,16th
C,5,64,16th
E,5,64,16th
C,5,64,16th
E,5,64,16th
C,5,64,16th
E,5,64,16th
C,5,64,16th
E,5,64,16th
C,5,64,16th
E,5,64,16th
C,5,64,16th
E,5,64,16th
C,5,64,16th
D,5,64,16th
B,4,64,16th
D,5,64,16th
B,4,64,16th
D,5,64,16th
B,4,64,16th
D,5,64,16th
B,4,64,16th
D,5,64,16th
B,4,64,16th
D,5,64,16th
B,4,64,16th
D,5,64,16th
B,4,64,16th
D,5,64,16th
B,4,64,16th
C,5,64,16th
A,4,64,16th
C,5,64,16th
A,4,64,16th
C,5,64,16th
A,4,64,16th
C,5,64,16th
A,4,64,16th
B,4,64,16th
A,4,64,16th
B,4,64,16th
F,5,64,16th
D,5,64,16th
B,4,64,16th
F,4,64,16th
D,4,64,16th
B,4,64,16th
A,4,64,16th
B,4,64,16th
F,5,64,16th
D,5,64,16th
B,4,64,16th
F,4,64,16th
D,4,64,16th
C,5,64,16th
B,4,64,16th
C,5,64,16th
F,5,64,16th
C,5,64,16th
A,4,64,16th
F,4,64,16th
D,4,64,16th
C,5,64,16th
B,4,64,16th
C,5,64,16th
F,5,64,16th
C,5,64,16th
A,4,64,16th
F,4,64,16th
D,4,64,16th
D,5,64,16th
C,5,64,16th
D,5,64,16th
G,5,64,16th
D,5,64,16th
B,4,64,16th
G,4,64,16th
E,4,64,16th
D,5,64,16th
C,5,64,16th
D,5,64,16th
G,5,64,16th
D,5,64,16th
B,4,64,16th
G,4,64,16th
E,4,64,16th
C,5,64,16th
B,4,64,16th
C,5,64,16th
A,5,64,16th
F,5,64,16th
C,5,64,16th
A,4,64,16th
D,4,64,16th
C,5,64,16th
B,4,64,16th
C,5,64,16th
A,5,64,16th
F,5,64,16th
C,5,64,16th
A,4,64,16th
D,4,64,16th
B,4,64,16th
A,4,64,16th
B,4,64,16th
A,5,64,16th
F,5,64,16th
D,5,64,16th
B,4,64,16th
E,4,64,16th
B,4,64,16th
A,4,64,16th
B,4,64,16th
A,5,64,16th
F,5,64,16th
D,5,64,16th
B,4,64,16th
E,4,64,16th
B,4,64,16th
A,4,64,16th
B,4,64,16th
G,5,64,16th
D,5,64,16th
B,4,64,16th
G,4,64,16th
E,4,64,16th
B,4,64,16th
A,4,64,16th
B,4,64,16th
G,5,64,16th
D,5,64,16th
B,4,64,16th
E,4,64,16th
G,5,64,16th
A,5,128,eighth
F,5,64,16th
E,5,64,16th
F,5,128,eighth
S,0,128,eighth
S,0,256,quarter
S,0,128,eighth
C,6,128,eighth
B,5,128,eighth
E,5,64,16th
D,5,64,16th
E,5,128,eighth
S,0,128,eighth
S,0,256,quarter
S,0,128,eighth
B,5,128,eighth
A,5,128,eighth
D,5,64,16th
C,5,64,16th
D,5,128,eighth
S,0,128,eighth
S,0,256,quarter
S,0,128,eighth
A,5,128,eighth
G,5,128,eighth
D,5,64,16th
C,5,64,16th
D,5,128,eighth
B,4,64,16th
A,4,64,16th
B,4,128,eighth
G,4,64,16th
F,4,64,16th
G,4,128,eighth
E,5,128,eighth
A,4,192,eighth
B,4,64,16th
B,4,192,eighth
A,4,64,16th
A,4,384,quarter
A,3,128,eighth
C,4,128,eighth
E,4,128,eighth
C,4,128,eighth
A,3,128,eighth
C,4,128,eighth
E,4,128,eighth
C,4,128,eighth
A,3,128,eighth
E,4,128,eighth
E,4,64,16th
E,4,64,16th
E,4,128,eighth
S,0,128,eighth
E,5,64,16th
D,5,64,16th
E,5,64,16th
F,5,64,16th
E,5,64,16th
G,5,64,16th
F,5,64,16th
A,5,64,16th
G,5,64,16th
F,5,64,16th
G,5,64,16th
A,5,64,16th
G,5,64,16th
B,5,64,16th
A,5,64,16th
C,6,64,16th
B,5,64,16th
A,5,64,16th
B,5,64,16th
C,6,64,16th
B,5,64,16th
C,6,64,16th
B,5,64,16th
A,5,64,16th
G,5,64,16th
A,5,64,16th
G,5,64,16th
F,5,64,16th
E,5,64,16th
G,5,64,16th
F,5,64,16th
E,5,64,16th
D,5,128,eighth
B,4,128,eighth
S,0,128,eighth
G,5,64,16th
F,5,64,16th
G,5,128,eighth
D,5,64,16th
C,5,64,16th
D,5,128,eighth
G,5,64,16th
F,5,64,16th
G,5,128,eighth
B,4,64,16th
A,4,64,16th
B,4,128,eighth
G,5,64,16th
F,5,64,16th
G,5,128,eighth
G,4,64,16th
A,4,64,16th
B,4,128,eighth
C,5,128,eighth
D,5,128,eighth
D,4,128,eighth
S,0,256,quarter
F,5,64,16th
E,5,64,16th
F,5,128,eighth
S,0,256,quarter
F,5,64,16th
E,5,64,16th
F,5,128,eighth
S,0,256,quarter
F,5,64,16th
E,5,64,16th
F,5,64,16th
D,6,64,16th
B,5,64,16th
F,5,64,16th
D,5,64,16th
G,4,64,16th
F,5,64,16th
E,5,64,16th
F,5,64,16th
D,6,64,16th
B,5,64,16th
F,5,64,16th
D,5,64,16th
G,4,64,16th
E,5,64,16th
F,5,64,16th
E,5,128,eighth
S,0,256,quarter
E,5,64,16th
F,5,64,16th
E,5,128,eighth
S,0,256,quarter
E,5,128,eighth
E,5,128,eighth
E,5,128,eighth
E,5,128,eighth
E,5,128,eighth
E,5,128,eighth
E,5,128,eighth
E,5,128,eighth
A,5,128,eighth
A,5,128,eighth
A,5,128,eighth
A,5,128,eighth
A,5,128,eighth
A,5,128,eighth
A,5,128,eighth
A,5,128,eighth
G,5,128,eighth
G,5,128,eighth
G,5,128,eighth
G,5,128,eighth
G,5,128,eighth
G,5,128,eighth
G,5,128,eighth
G,5,128,eighth
G,5,64,16th
F,5,64,16th
G,5,128,eighth
S,0,256,quarter
G,5,64,16th
F,5,64,16th
G,5,128,eighth
S,0,256,quarter
G,5,64,16th
F,5,64,16th
G,5,128,eighth
S,0,256,quarter
G,5,64,16th
F,5,64,16th
G,5,128,eighth
S,0,256,quarter
G,5,64,16th
F,5,64,16th
G,5,128,eighth
S,0,256,quarter
G,5,64,16th
F,5,64,16th
G,5,128,eighth
S,0,256,quarter
G,5,64,16th
F,5,64,16th
G,5,128,eighth
S,0,256,quarter
G,5,64,16th
F,5,64,16th
G,5,128,eighth
S,0,256,quarter
F,5,64,16th
G,5,64,16th
F,5,128,eighth
S,0,256,quarter
F,5,64,16th
G,5,64,16th
F,5,128,eighth
S,0,256,quarter
G,5,128,eighth
D,5,64,16th
D,5,64,16th
D,5,128,eighth
S,0,128,eighth
S,0,256,quarter
S,0,128,eighth
B,5,128,eighth
A,5,128,eighth
D,5,64,16th
C,5,64,16th
D,5,128,eighth
S,0,128,eighth
S,0,256,quarter
S,0,128,eighth
A,5,128,eighth
G,5,128,eighth
C,5,64,16th
B,4,64,16th
C,5,128,eighth
S,0,128,eighth
S,0,256,quarter
S,0,128,eighth
G,5,128,eighth
F,5,128,eighth
A,5,64,16th
G,5,64,16th
A,5,128,eighth
S,0,128,eighth
S,0,128,eighth
C,6,64,16th
B,5,64,16th
C,6,128,eighth
S,0,128,eighth
S,0,128,eighth
D,6,64,16th
D,6,64,16th
D,6,128,eighth
S,0,128,eighth
S,0,128,eighth
D,6,64,16th
C,6,64,16th
D,6,128,eighth
S,0,128,eighth
S,0,128,eighth
C,6,64,16th
B,5,64,16th
C,6,128,eighth
S,0,128,eighth
S,0,128,eighth
A,5,64,16th
G,5,64,16th
F,5,128,eighth
D,5,128,eighth
D,5,192,eighth
D,5,64,16th
C,5,64,16th
B,4,64,16th
A,4,64,16th
G,4,64,16th
D,5,128,eighth
C,5,64,16th
B,4,64,16th
A,4,128,eighth
G,4,64,16th
F,4,64,16th
G,4,128,eighth
D,4,64,16th
C,4,64,16th
D,4,128,eighth
G,4,64,16th
F,4,64,16th
G,4,128,eighth
B,3,64,16th
A,3,64,16th
B,3,128,eighth
G,4,64,16th
F,4,64,16th
G,4,128,eighth
G,3,64,16th
A,3,64,16th
B,3,128,eighth
C,4,128,eighth
D,4,64,16th
C,4,64,16th
D,4,64,16th
E,4,64,16th
D,4,64,16th
F,4,64,16th
D,4,64,16th
G,4,64,16th
D,4,64,16th
C,4,64,16th
D,4,64,16th
E,4,64,16th
D,4,64,16th
A,4,64,16th
D,4,64,16th
B,4,64,16th
D,4,64,16th
C,4,64,16th
D,4,64,16th
E,4,64,16th
D,4,64,16th
C,5,64,16th
D,4,64,16th
D,5,64,16th
B,4,128,eighth
A,4,64,16th
G,4,64,16th
A,4,128,eighth
G,4,64,16th
F,4,64,16th
G,4,128,eighth
F,4,64,16th
E,4,64,16th
D,4,64,16th
G,4,64,16th
D,4,64,16th
G,4,64,16th
E,4,128,eighth
D,4,64,16th
C,4,64,16th
B,3,64,16th
G,4,64,16th
B,3,64,16th
G,4,64,16th
C,4,128,eighth
B,3,64,16th
A,3,64,16th
G,3,64,16th
G,4,64,16th
A,3,64,16th
G,4,64,16th
B,3,64,16th
G,4,64,16th
C,4,64,16th
G,4,64,16th
D,4,64,16th
F,4,64,16th
D,4,64,16th
G,4,64,16th
D,4,64,16th
A,4,64,16th
D,4,64,16th
B,4,64,16th
D,4,64,16th
C,5,64,16th
D,4,64,16th
D,5,64,16th
B,4,128,eighth
A,4,64,16th
G,4,64,16th
D,4,128,eighth
F,4,128,eighth
G,4,128,eighth
S,0,128,eighth
S,0,256,quarter
S,0,512,half
S,0,128,eighth
B,4,64,16th
A,4,64,16th
B,4,128,eighth
D,5,64,16th
C,5,64,16th
D,5,128,eighth
G,5,64,16th
F,5,64,16th
G,5,128,eighth
B,5,64,16th
A,5,64,16th
B,5,128,eighth
A,5,64,16th
G,5,64,16th
F,5,64,16th
E,5,64,16th
D,5,64,16th
C,5,64,16th
B,4,64,16th
D,5,64,16th
C,5,64,16th
B,4,64,16th
A,4,64,16th
G,4,64,16th
F,4,64,16th
E,4,64,16th
D,4,64,16th
G,4,64,16th
F,4,64,16th
E,4,64,16th
D,4,64,16th
C,4,64,16th
B,3,64,16th
A,3,64,16th
B,3,128,eighth
A,3,64,16th
G,3,64,16th
D,4,128,eighth
D,4,128,eighth
G,3,512,half
S,0,1024,whole